time,Exc,Pre,_20,_50,_100,,Excf,Pref,_20f,_50f,_100f,,sExcf,sPref,s_20f,s_50f,s_100f
105,0.067675,0.484915,0.418919,0.114217,-0.212809,,0.67675,4.84915,4.18919,1.14217,-2.12809,,242.62077,281.56343,234.92371,209.84287,152.68065
106,0.085513,0.093797,0.460975,0.164451,-0.038423,,0.85513,0.93797,4.60975,1.64451,-0.38423,,243.4759,282.5014,239.53346,211.48738,152.29642
107,0.066104,0.524917,0.424298,0.177313,0.094049,,0.66104,5.24917,4.24298,1.77313,0.94049,,244.13694,287.75057,243.77644,213.26051,153.23691
108,0.097635,0.128018,0.384198,0.227743,0.204494,,0.97635,1.28018,3.84198,2.27743,2.04494,,245.11329,289.03075,247.61842,215.53794,155.28185
109,0.060803,0.527671,0.51124,0.234475,0.301263,,0.60803,5.27671,5.1124,2.34475,3.01263,,245.72132,294.30746,252.73082,217.88269,158.29448
110,0.056913,0.111371,0.491542,0.394844,0.349552,,0.56913,1.11371,4.91542,3.94844,3.49552,,246.29045,295.42117,257.64624,221.83113,161.79
111,0.045594,0.515261,0.456149,0.393294,0.376017,,0.45594,5.15261,4.56149,3.93294,3.76017,,246.74639,300.57378,262.20773,225.76407,165.55017
112,0.037614,0.136159,0.430124,0.369117,0.539438,,0.37614,1.36159,4.30124,3.69117,5.39438,,247.12253,301.93537,266.50897,229.45524,170.94455
113,0.076457,0.545465,0.40128,0.39717,0.541785,,0.76457,5.45465,4.0128,3.9717,5.41785,,247.8871,307.39002,270.52177,233.42694,176.3624
114,0.068659,0.112504,0.399134,0.497788,0.503157,,0.68659,1.12504,3.99134,4.97788,5.03157,,248.57369,308.51506,274.51311,238.40482,181.39397
115,0.071839,0.521356,0.400659,0.489764,0.440899,,0.71839,5.21356,4.00659,4.89764,4.40899,,249.29208,313.72862,278.5197,243.30246,185.80296
116,0.05308,0.081391,0.417078,0.467108,0.403514,,0.5308,0.81391,4.17078,4.67108,4.03514,,249.82288,314.54253,282.69048,247.97354,189.8381
117,0.04698,0.480473,0.397344,0.437511,0.39975,,0.4698,4.80473,3.97344,4.37511,3.9975,,250.29268,319.34726,286.66392,252.34865,193.8356
118,0.051738,0.033011,0.384768,0.417084,0.430799,,0.51738,0.33011,3.84768,4.17084,4.30799,,250.81006,319.67737,290.5116,256.51949,198.14359
119,0.066194,0.433552,0.370405,0.400341,0.416742,,0.66194,4.33552,3.70405,4.00341,4.16742,,251.472,324.01289,294.21565,260.5229,202.31101
120,0.056426,-0.010905,0.361096,0.387254,0.447078,,0.56426,-0.10905,3.61096,3.87254,4.47078,,252.03626,323.90384,297.82661,264.39544,206.78179
121,0.070882,0.394248,-0.978461,0.401566,0.390623,,0.70882,3.94248,-9.78461,4.01566,3.90623,,252.74508,327.84632,288.042,268.4111,210.68802
122,0.059968,-0.047839,-0.418891,0.391192,0.37141,,0.59968,-0.47839,-4.18891,3.91192,3.7141,,253.34476,327.36793,283.85309,272.32302,214.40212
123,0.045353,0.350815,-0.082384,0.369408,0.359062,,0.45353,3.50815,-0.82384,3.69408,3.59062,,253.79829,330.87608,283.02925,276.0171,217.99274
124,0.034518,-0.060062,0.242695,0.35094,0.349601,,0.34518,-0.60062,2.42695,3.5094,3.49601,,254.14347,330.27546,285.4562,279.5265,221.48875
